image_id,method,block_size,num_disparities,EPE,Bad-3px (%),Runtime (ms),Valid prediction ratio (%)
000007,SGBM,11,128,0.97476023,15.816522486603143,30.344199971295893,87.4179270991459
000008,SGBM,11,128,0.8913196,6.897364389803213,34.797600004822016,95.05283004045721
000009,SGBM,11,128,0.9200282,10.494077939935623,26.016500080004334,90.94971717866184
000010,SGBM,11,128,0.96286744,13.648982662272532,28.692999971099198,88.566592635048
000011,SGBM,11,128,1.0102811,13.178106948075,26.799699990078807,89.1373801916933
000012,SGBM,11,128,1.2043456,17.828169667001468,32.187100034207106,85.90872801256792
000013,SGBM,11,128,0.92854357,14.053474729241877,31.498700031079352,88.84363718411552
000014,SGBM,11,128,0.9585898,13.030417611965381,34.37499993015081,90.90727669943702
000015,SGBM,11,128,0.8156729,10.893653291371622,55.079400073736906,91.29950170469446
000016,SGBM,11,128,0.7933368,8.977978543195935,60.03130006138235,92.70774515339733
000017,SGBM,11,128,0.8821849,21.87917529014173,74.21710004564375,80.51400277697729
000018,SGBM,11,128,1.7996874,18.567167837882007,60.9431000193581,87.26405458408236
000019,SGBM,11,128,1.6629803,15.413513658562767,68.07519996073097,90.00590350453497
